2019-10-18 16:00:49 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   7,4; Parcels:      0; Health: 185.0; Health Usage: 200.0; Fuel: 957.0; Tile: ROAD
2019-10-18 16:00:49 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   7,3; Parcels:      0; Health: 185.0; Health Usage: 200.0; Fuel: 956.0; Tile: ROAD
2019-10-18 16:00:49 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   8,3; Parcels:      0; Health: 185.0; Health Usage: 200.0; Fuel: 955.0; Tile: ROAD
2019-10-18 16:00:50 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   9,3; Parcels:      0; Health: 185.0; Health Usage: 200.0; Fuel: 954.0; Tile: ROAD
2019-10-18 16:00:50 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  10,3; Parcels:      0; Health: 185.0; Health Usage: 200.0; Fuel: 953.0; Tile: ROAD
2019-10-18 16:00:50 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  11,3; Parcels:      0; Health: 185.0; Health Usage: 200.0; Fuel: 952.0; Tile: ROAD
2019-10-18 16:00:50 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  12,3; Parcels:      0; Health: 185.0; Health Usage: 200.0; Fuel: 951.0; Tile: ROAD
2019-10-18 16:00:51 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  13,3; Parcels:      0; Health: 185.0; Health Usage: 200.0; Fuel: 950.0; Tile: ROAD
2019-10-18 16:00:51 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  13,4; Parcels:      0; Health: 185.0; Health Usage: 200.0; Fuel: 949.0; Tile: ROAD
2019-10-18 16:00:51 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  13,5; Parcels:      0; Health: 185.0; Health Usage: 200.0; Fuel: 948.0; Tile: ROAD
2019-10-18 16:00:51 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  13,6; Parcels:      0; Health: 185.0; Health Usage: 200.0; Fuel: 947.0; Tile: ROAD
2019-10-18 16:00:52 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  13,7; Parcels:      0; Health: 185.0; Health Usage: 200.0; Fuel: 946.0; Tile: ROAD
2019-10-18 16:00:52 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  13,7; Parcels:      0; Health: 180.0; Health Usage: 200.0; Fuel: 945.0; Tile: ROAD
2019-10-18 16:00:52 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  13,7; Parcels:      0; Health: 180.0; Health Usage: 200.0; Fuel: 945.0; Tile: ROAD
